"","Local.authority","year","Universal.Credit","Child.Tax.Credit","affected_population","percent_impacted","children_in_care","children_in_care_1_under","children_in_care_1_4","children_in_care_5_9","children_in_care_10_15","children_in_care_16plus","started_under_1","started_1_to_4","started_5_to_9","started_10_to_15","started_over_16","Anypoint_child_rate","Referrals_rate","under_19_population","under_5_population"
"1","BARKING AND DAGENHAM",2010,NA,NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BARKING AND DAGENHAM",2011,NA,NA,NA,NA,410,"22","87","76","143","82","38","54","52","73","22",NA,NA,56379,18697
"3","BARKING AND DAGENHAM",2012,NA,NA,NA,NA,427,"25","80","83","146","93","37","46","53","58","28",NA,NA,58434,19190
"4","BARKING AND DAGENHAM",2013,NA,NA,NA,NA,420,"26","71","92","148","83","43","45","50","68","39","759.1","464.1",60308,19590
"5","BARKING AND DAGENHAM",2014,NA,NA,NA,NA,458,"22","86","102","176","72","41","61","69","98","41","827.1","542.1",61940,19559
"6","BARKING AND DAGENHAM",2015,NA,NA,NA,NA,457,"19","68","98","177","95","41","47","53","86","41","841.8","688.4",63597,19541
"7","BARKING AND DAGENHAM",2016,NA,NA,NA,NA,418,"15","46","81","159","117","28","37","47","63","35","778.1","534.6",65202,19785
"8","BARKING AND DAGENHAM",2017,NA,NA,NA,NA,409,"16","53","75","154","111","31","37","35","48","44","687.5","501",65804,19457
"9","BARKING AND DAGENHAM",2018,0,"490",3772,12.9904559915164,409,"22","44","76","159","108","31","33","35","51","44","730.7","555.5",66246,18930
"10","BARKING AND DAGENHAM",2019,90,"960",7252,14.4787644787645,414,"24","40","64","159","127","33","30","22","55","61","741.8","586.2",66679,18474
"11","BARKING AND DAGENHAM",2020,610,"990",10650,15.0234741784038,402,"18","50","52","160","122","26","25","17","50","62","678.9","558.6",66945,18171
"12","BARKING AND DAGENHAM",2021,1100,"950",13412,15.284819564569,391,"21","38","51","165","116","36","17","18","49","65","748.8","614.2",66474,17077
"13","BARKING AND DAGENHAM",2022,1560,"900",16975,14.4918998527246,412,"16","53","57","177","109","24","28","31","58","55","933.3","970.1",66764,16975
"14","BARKING AND DAGENHAM",2023,2000,"810",20889,13.4520561060845,429,"26","46","57","183","117","40","37","32","77","63","774.7","869.5",67635,17262
"15","BARKING AND DAGENHAM",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"694","721.2",NA,NA
"16","BARNET",2010,NA,NA,NA,NA,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","BARNET",2011,NA,NA,NA,NA,304,"11","36","45","134","78","22","14","19","51","15",NA,NA,87262,26264
"18","BARNET",2012,NA,NA,NA,NA,300,"18","32","42","131","77","29","21","27","56","21",NA,NA,89211,27107
"19","BARNET",2013,NA,NA,NA,NA,310,"21","33","45","123","88","32","21","29","64","23","498.3","379.1",90018,26990
"20","BARNET",2014,NA,NA,NA,NA,309,"14","32","40","128","95","23","19","19","63","42","488.2","410.5",91028,27003
"21","BARNET",2015,NA,NA,NA,NA,302,"8","33","41","122","98","18","33","20","55","47","445.7","387.2",91482,26559
"22","BARNET",2016,NA,NA,NA,NA,314,"13","27","45","127","102","20","28","26","71","36","473.3","399.5",92378,26319
"23","BARNET",2017,NA,NA,NA,NA,344,"15","24","39","128","138","28","11","23","73","68","464.4","377.3",92863,25767
"24","BARNET",2018,0,"360",5150,6.99029126213592,328,"20","22","29","121","136","32","9","15","56","60","532.3","437.4",93476,25530
"25","BARNET",2019,40,"820",9915,8.6737266767524,312,"18","28","38","112","116","27","18","20","40","55","475.2","385.9",93623,25061
"26","BARNET",2020,350,"1010",14708,9.24666847973892,327,"18","34","43","113","119","26","19","25","57","63","414.5","314.1",94011,24753
"27","BARNET",2021,700,"1060",19017,9.25487721512331,323,"14","28","36","116","129","22","12","8","39","53","384.3","280",93590,23930
"28","BARNET",2022,1030,"1040",24144,8.57355864811133,333,"16","39","47","109","122","24","22","25","60","66","402.2","323.6",95350,24144
"29","BARNET",2023,1400,"990",29247,8.17177830204807,334,"21","32","54","101","126","26","23","20","55","61","424.8","307.2",96992,24183
"30","BARNET",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"426.8","308.3",NA,NA
"31","BARNSLEY",2010,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","BARNSLEY",2011,NA,NA,NA,NA,246,"18","50","43","83","52","28","14","13","22","13",NA,NA,51741,14055
"33","BARNSLEY",2012,NA,NA,NA,NA,227,"19","54","32","70","53","35","27","19","14","15",NA,NA,51850,14312
"34","BARNSLEY",2013,NA,NA,NA,NA,234,"28","58","32","64","52","38","26","19","18","8","468.5","457.8",51910,14413
"35","BARNSLEY",2014,NA,NA,NA,NA,228,"19","57","43","64","45","24","19","12","16","15","442.5","357.2",51954,14443
"36","BARNSLEY",2015,NA,NA,NA,NA,241,"17","48","56","81","39","25","33","27","32","11","559.9","610.9",52041,14443
"37","BARNSLEY",2016,NA,NA,NA,NA,278,"25","50","72","90","41","46","44","35","34","11","628.2","609.7",51967,14273
"38","BARNSLEY",2017,NA,NA,NA,NA,289,"24","53","65","111","36","38","29","32","x","x","581","435.2",51998,14049
"39","BARNSLEY",2018,10,"300",2711,11.4348948727407,310,"31","52","84","107","36","40","30","32","c","c","617.2","500.3",52019,13828
"40","BARNSLEY",2019,140,"490",5327,11.826544021025,301,"25","53","66","110","47","31","32","18","c","c","646.4","537.4",52156,13725
"41","BARNSLEY",2020,490,"480",7981,12.1538654303972,300,"44","47","63","107","39","61","27","20","c","c","701.9","551.3",52353,13574
"42","BARNSLEY",2021,770,"450",10513,11.6046799200989,330,"29","66","76","119","40","35","42","36","37","8","787","544.8",52496,13357
"43","BARNSLEY",2022,1060,"400",13358,10.9297799071717,348,"26","68","67","126","61","42","54","32","25","19","753","560.6",53207,13358
"44","BARNSLEY",2023,1350,"360",16155,10.5849582172702,400,"39","65","66","148","82","51","38","27","48","32","657.9","600.8",53740,13375
"45","BARNSLEY",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"646.9","610",NA,NA
