"","Location","year","Total.Both","Universal.Credit.or.Child.Tax.Credits","Proportion.Both","Total.Universal.Credit","Universal.Credit","Proportion.Universal.Credit","Total.Child.Tax.Credit","Child.Tax.Credit","Proportion.Child.Tax.Credit","Local.authority","children_in_care"
"1","
 Derby",2018,NA,NA,NA,NA,NA,NA,NA,"400",NA,"DERBY","491"
"2","
 Leicester",2018,NA,NA,NA,NA,NA,NA,NA,"710",NA,"LEICESTER","676"
"3","
 Nottingham",2018,NA,NA,NA,NA,NA,NA,NA,"590",NA,"NOTTINGHAM","616"
"4","
 Rutland",2018,NA,NA,NA,NA,NA,NA,NA,"20",NA,"RUTLAND","30"
"5","
 Bedford",2018,NA,NA,NA,NA,NA,NA,NA,"190",NA,"BEDFORD","239"
"6","
 Central Bedfordshire",2018,NA,NA,NA,NA,NA,NA,NA,"180",NA,"CENTRAL BEDFORDSHIRE","313"
"7","
 Luton",2018,NA,NA,NA,NA,NA,NA,NA,"490",NA,"LUTON","379"
"8","
 Peterborough",2018,NA,NA,NA,NA,NA,NA,NA,"410",NA,"PETERBOROUGH","369"
"9","
 Thurrock",2018,NA,NA,NA,NA,NA,NA,NA,"200",NA,"THURROCK","299"
"10","
 Barking and Dagenham",2018,NA,NA,NA,NA,NA,NA,NA,"490",NA,"BARKING AND DAGENHAM","409"
"11","
 Barnet",2018,NA,NA,NA,NA,NA,NA,NA,"360",NA,"BARNET","328"
"12","
 Bexley",2018,NA,NA,NA,NA,NA,NA,NA,"200",NA,"BEXLEY","240"
"13","
 Brent",2018,NA,NA,NA,NA,NA,NA,NA,"490",NA,"BRENT","317"
"14","
 Bromley",2018,NA,NA,NA,NA,NA,NA,NA,"210",NA,"BROMLEY","310"
"15","
 Camden",2018,NA,NA,NA,NA,NA,NA,NA,"200",NA,"CAMDEN","201"
"16","
 Croydon",2018,NA,NA,NA,NA,NA,NA,NA,"340",NA,"CROYDON","772"
"17","
 Ealing",2018,NA,NA,NA,NA,NA,NA,NA,"430",NA,"EALING","341"
"18","
 Enfield",2018,NA,NA,NA,NA,NA,NA,NA,"570",NA,"ENFIELD","330"
"19","
 Greenwich",2018,NA,NA,NA,NA,NA,NA,NA,"400",NA,"GREENWICH","497"
"20","
 Hackney",2018,NA,NA,NA,NA,NA,NA,NA,"680",NA,"HACKNEY","382"
"21","
 Hammersmith and Fulham",2018,NA,NA,NA,NA,NA,NA,NA,"120",NA,"HAMMERSMITH AND FULHAM","226"
"22","
 Haringey",2018,NA,NA,NA,NA,NA,NA,NA,"340",NA,"HARINGEY","433"
"23","
 Harrow",2018,NA,NA,NA,NA,NA,NA,NA,"280",NA,"HARROW","160"
"24","
 Havering",2018,NA,NA,NA,NA,NA,NA,NA,"240",NA,"HAVERING","251"
"25","
 Hillingdon",2018,NA,NA,NA,NA,NA,NA,NA,"370",NA,"HILLINGDON","291"
"26","
 Hounslow",2018,NA,NA,NA,NA,NA,NA,NA,"240",NA,"HOUNSLOW","248"
"27","
 Islington",2018,NA,NA,NA,NA,NA,NA,NA,"220",NA,"ISLINGTON","335"
"28","
 Kensington and Chelsea",2018,NA,NA,NA,NA,NA,NA,NA,"60",NA,"KENSINGTON AND CHELSEA","85"
"29","
 Kingston upon Thames",2018,NA,NA,NA,NA,NA,NA,NA,"100",NA,"KINGSTON UPON THAMES","135"
"30","
 Lambeth",2018,NA,NA,NA,NA,NA,NA,NA,"320",NA,"LAMBETH","411"
"31","
 Lewisham",2018,NA,NA,NA,NA,NA,NA,NA,"380",NA,"LEWISHAM","480"
"32","
 Merton",2018,NA,NA,NA,NA,NA,NA,NA,"150",NA,"MERTON","155"
"33","
 Newham",2018,NA,NA,NA,NA,NA,NA,NA,"660",NA,"NEWHAM","405"
"34","
 Redbridge",2018,NA,NA,NA,NA,NA,NA,NA,"370",NA,"REDBRIDGE","223"
"35","
 Richmond upon Thames",2018,NA,NA,NA,NA,NA,NA,NA,"60",NA,"RICHMOND UPON THAMES","104"
"36","
 Southwark",2018,NA,NA,NA,NA,NA,NA,NA,"310",NA,"SOUTHWARK","491"
"37","
 Sutton",2018,NA,NA,NA,NA,NA,NA,NA,"100",NA,"SUTTON","215"
"38","
 Tower Hamlets",2018,NA,NA,NA,NA,NA,NA,NA,"580",NA,"TOWER HAMLETS","286"
"39","
 Waltham Forest",2018,NA,NA,NA,NA,NA,NA,NA,"350",NA,"WALTHAM FOREST","296"
"40","
 Wandsworth",2018,NA,NA,NA,NA,NA,NA,NA,"240",NA,"WANDSWORTH","309"
"41","
 Westminster",2018,NA,NA,NA,NA,NA,NA,NA,"150",NA,"WESTMINSTER","204"
"42","
 County Durham",2018,NA,NA,NA,NA,NA,NA,NA,"510",NA,"DURHAM","803"
"43","
 Darlington",2018,NA,NA,NA,NA,NA,NA,NA,"110",NA,"DARLINGTON","214"
"44","
 Gateshead",2018,NA,NA,NA,NA,NA,NA,NA,"210",NA,"GATESHEAD","395"
"45","
 Hartlepool",2018,NA,NA,NA,NA,NA,NA,NA,"90",NA,"HARTLEPOOL","278"
"46","
 Newcastle upon Tyne",2018,NA,NA,NA,NA,NA,NA,NA,"320",NA,"NEWCASTLE UPON TYNE","566"
"47","
 North Tyneside",2018,NA,NA,NA,NA,NA,NA,NA,"170",NA,"NORTH TYNESIDE","282"
